corpus_id	characters	bytes	sha256
V3	89588	89642	18c811040bfdc320708de5aee90c6642ea6f1c532c35147d67de175d7d062b3a
V4	67938	68109	8297cfd4d8830b0ae857cbabbdce8c2053fddb0d43a561607e5dc982359cb8d6
V4.1	60880	61029	3adea05eaee9eca70c2d9eec1030bdc18bcbc9c503dd5b06e7a1b1667d04d7d4
V4.2	27872	28026	18714818dd1979bef33cdabc7fc3b026c940d12d38aa6909f7c4203c0fa90151
V4.3	4624	4634	64cbe2ede94624caa40447e2e5f18dcb95233220a90947f3878a0a2f4a33a346
FOCUSED	4189	4203	403c7667cabdf696bc53b95f5d3ecd1b6b16c61ae220107be1bcab89e41ca149
