captured_at_utc	logical_path	head	branch	dirty_entries	disposition
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex	f9d6c4e70198e94e5b9461b8cac7518ae14d41ef	main	0	trusted-main-preserve
2026-07-13T04:45:09Z	<home>/.codex/worktrees/07d5/decodex	f9d6c4e70198e94e5b9461b8cac7518ae14d41ef	xv/xy-1264-server-store-feasibility	3	active-vnext-preserve
2026-07-13T04:45:09Z	<home>/.codex/worktrees/3537/decodex	f9d6c4e70198e94e5b9461b8cac7518ae14d41ef	xv/xy-1263-gpui-feasibility	2	active-vnext-preserve
2026-07-13T04:45:09Z	<home>/.codex/worktrees/524f/decodex	f9d6c4e70198e94e5b9461b8cac7518ae14d41ef	xv/xy-1261-v02-freeze	0	active-vnext-preserve
2026-07-13T04:45:09Z	<home>/.codex/worktrees/e9b9/decodex	f9d6c4e70198e94e5b9461b8cac7518ae14d41ef	xv/xy-1262-codex-proof	1	active-vnext-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/automation-health-optimization	88358028d87047f5898bd0054a9a80912da952ea	xy/automation-health-optimization	0	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/automation-live-inventory-gate	6a61066060e0fd9727a45464f5e739655d5c1a7c	xy/automation-live-inventory-gate	2	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/automation-manager	8f37085062b19f37b94e549d367e443631a1dea7	xy/automation-manager	0	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/autonomy-ops-manager	624cb26b78d1bb9b635422d1ed401ef73ec8d43c	xy/autonomy-ops-manager	0	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/commit-v2-lifecycle-events	038b2df951d5424ebbfc06f6c6a7b99a8c63fb14	xy/commit-v2-lifecycle-events	64	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/continuation-lineage-blocking-lane-decision	04d3a07330a458bdf18560c339411c7cb361fe14	xy/continuation-lineage-blocking-lane-decision	4	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/dag-telemetry	ba4f08c4f02d602b2d626038396f416b66658cf0	xy/dag-telemetry	7	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/dep-roll-policy-contract	4640836c391fe1b9382e825394360798720ed21f	xy/dep-roll-policy-contract	10	owner-review-required-preserve
2026-07-13T04:45:09Z	<home>/code/y/hack-ink/decodex/.worktrees/fix-main-fmt-vstyle	65bca380a7e0943ffec232f32ef0f239073e54e7	xy/fix-main-fmt-vstyle	580	owner-review-required-preserve
